TaxonomicLevel,TaxonName,SpeciesID,Group,Notes
Phylum,Chordata,29,Animals,"only use if class or below (family, species etc) isnt matched - this is for instances where trade is reported above class level"
Phylum,Annelida,24,Animals,"only use if class or below (family, species etc) isnt matched - this is for instances where trade is reported above class level"
Phylum,Arthropoda,26,Animals,"only use if class or below (family, species etc) isnt matched - this is for instances where trade is reported above class level"
Phylum,Cnidaria,37,Animals,"only use if class or below (family, species etc) isnt matched - this is for instances where trade is reported above class level"
Phylum,Echinodermata,40,Animals,"only use if class or below (family, species etc) isnt matched - this is for instances where trade is reported above class level"
Phylum,Mollusca,42,Animals,"only use if class or below (family, species etc) isnt matched - this is for instances where trade is reported above class level"
Class,Mammalia,34,Mammals,
Class,Aves,32,Birds,
Class,Reptilia,35,Reptiles,
Class,Amphibia,31,Amphibians,
Class,Elasmobranchii,33,Fish,
Class,Actinopteri,68369,Fish,
Class,Actinopterygii,30,Fish,
Class,Coelacanthi,68387,Fish,
Class,Dipneusti,68386,Fish,
Class,Anthozoa,38,Coral,
Class,Hydrozoa,39,Coral,
Class,Gastropoda,44,Non-coral invertebrates,
Class,Hirudinoidea,25,Non-coral invertebrates,
Class,Holothuroidea,41,Non-coral invertebrates,
Class,Insecta,28,Non-coral invertebrates,
Class,Bivalvia,43,Non-coral invertebrates,
Class,Arachnida,27,Non-coral invertebrates,
Class,Cephalopoda,67993,Non-coral invertebrates,
Genus,Abies,12812,Timber,
Genus,Afzelia,100266,Timber,
Genus,Aquilaria,13257,Timber,
Genus,Cedrela,13009,Timber,
Genus,Dalbergia,12737,Timber,
Genus,Diospyros,12881,Timber,
Genus,Dipteryx,13170,Timber,
Genus,Gonystylus,13598,Timber,
Genus,Guaiacum,13581,Timber,
Genus,Guarea,13464,Timber,
Genus,Guibourtia,67988,Timber,
Genus,Gyrinops,12597,Timber,
Genus,Handroanthus,99802,Timber,
Genus,Khaya,67594,Timber,
Genus,Pericopsis,12931,Timber,
Genus,Platymiscium,13460,Timber,
Genus,Prunus,13202,Timber,
Genus,Pterocarpus,13162,Timber,
Genus,Podocarpus,13286,Timber,
Genus,Quercus,12819,Timber,
Genus,Roseodendron,99734,Timber,
Genus,Swietenia,12721,Timber,
Genus,Tabebuia,99653,Timber,
Genus,Taxus,12857,Timber,
Species,Abies guatemalensis,17704,Timber,
Species,Aniba rosaeodora,19724,Timber,
Species,Araucaria araucana,25968,Timber,
Species,Bulnesia sarmientoi,23851,Timber,
Species,Caryocar costaricense,16008,Timber,
Species,Celtis aetnensis,22961,Timber,
Species,Cynometra hemitomophylla,22301,Timber,
Species,Dipteryx panamensis,22966,Timber,
Species,Fitzroya cupressoides,27947,Timber,
Species,Fraxinus mandshurica,65604,Timber,
Species,Magnolia liliifera,23285,Timber,
Species,Oreomunnea pterocarpa,16118,Timber,
Species,Osyris lanceolata,24847,Timber,
Species,Paubrasilia echinata,94093,Timber,
Species,Pilgerodendron uviferum,28405,Timber,
Species,Pinus koraiensis,18210,Timber,
Species,Pterygota excelsa,18199,Timber,
Species,Tachigali versicolor,27015,Timber,
Species,Tetracentron sinense,21337,Timber,
Species,Widdringtonia whytei,98273,Timber,
Species,Aucoumea klaineana,99793,Timber,
Species,Entandrophragma cylindricum,67427,Timber,
Species,Baillonella toxisperma,99771,Timber,
